Brand,Model,Body,Color,Fuel,Kilometers,Engine,Transmission,Price,Gov,Age_of_Car
Hyundai,Accent,Sedan,Silver,Benzine,190000,1500,Manual,65.0,Suez,23
Hyundai,Accent,Sedan,White,Benzine,75000,1600,Automatic,225.0,Gharbia,7
Hyundai,Accent,Sedan,Silver,Benzine,85000,1600,Automatic,210.0,Cairo,10
Hyundai,Accent,Sedan,Silver,Benzine,200000,1600,Automatic,220.0,Cairo,7
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,130000,1600,Automatic,180.0,Cairo,11
Hyundai,Accent,Sedan,White,Benzine,110000,1600,Automatic,228.0,Cairo,7
Hyundai,Accent,Sedan,Silver,Benzine,130000,1600,Automatic,175.0,Alexandria,11
Hyundai,Accent,Sedan,Burgundy,Benzine,65000,1600,Manual,205.0,Cairo,11
Hyundai,Accent,Sedan,Gray,Benzine,5000,1500,Manual,58.0,Giza,23
Hyundai,Accent,Sedan,Other Color,Benzine,15000,1500,Manual,72.5,Dakahlia,22
Hyundai,Accent,Sedan,Black,Benzine,15000,1600,Automatic,164.0,Monufia,14
Hyundai,Accent,Sedan,Gold,Benzine,190000,1500,Automatic,130.0,Cairo,12
Hyundai,Accent,Sedan,Other Color,Benzine,35000,1500,Manual,38.0,Matruh,23
Hyundai,Accent,Sedan,Silver,Benzine,170000,1600,Automatic,150.0,Alexandria,11
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,150000,1600,Manual,135.0,Beheira,15
Hyundai,Accent,Sedan,Silver,Benzine,150000,1600,Automatic,210.0,Sharqia,6
Hyundai,Accent,Sedan,Other Color,Benzine,150000,1600,Automatic,130.0,Cairo,13
Hyundai,Accent,Sedan,Brown,Benzine,85000,1600,Automatic,230.0,Qena,5
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,150000,1600,Automatic,160.0,Beheira,14
Hyundai,Accent,Sedan,Silver,Benzine,190000,1600,Manual,125.0,Giza,12
Hyundai,Accent,Sedan,Gold,Benzine,170000,1600,Manual,68.0,Asyut,22
Hyundai,Accent,Sedan,Orange,Benzine,110000,1600,Manual,115.0,Cairo,12
Hyundai,Accent,Sedan,Silver,Benzine,65000,1600,Automatic,240.0,Giza,6
Hyundai,Accent,Sedan,Silver,Benzine,15000,1600,Automatic,280.0,Cairo,1
Hyundai,Accent,Sedan,White,Benzine,200000,1500,Manual,62.0,Cairo,17
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,95000,1600,Automatic,142.0,Minya,14
Hyundai,Accent,Sedan,Black,Benzine,5000,1600,Manual,145.0,Sharqia,11
Hyundai,Accent,Sedan,Gray,Benzine,85000,1600,Manual,110.0,Ismailia,12
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,130000,1600,Automatic,240.0,Cairo,5
Hyundai,Accent,Sedan,Red,Benzine,150000,1600,Automatic,180.0,Giza,10
Hyundai,Accent,Sedan,Gray,Benzine,170000,1600,Manual,145.0,Cairo,14
Hyundai,Accent,Sedan,Other Color,Benzine,130000,1600,Manual,130.0,Qalyubia,14
Hyundai,Accent,Sedan,Other Color,Benzine,150000,1600,Manual,143.0,Cairo,13
Hyundai,Accent,Sedan,Other Color,Benzine,5000,1600,Manual,45.0,Cairo,24
Hyundai,Accent,Sedan,Other Color,Benzine,15000,1500,Manual,55.0,Ismailia,23
Hyundai,Accent,Sedan,Yellow,Natural Gas,200000,1500,Manual,48.0,Ismailia,24
Hyundai,Accent,Sedan,Gray,Benzine,15000,1600,Automatic,316.0,Cairo,1
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,35000,1600,Automatic,157.0,Cairo,11
Hyundai,Accent,Sedan,White,Benzine,150000,1500,Manual,79.0,Giza,23
